#x|J0|Y0|j0|y0|J1|Y1|j1|y1|J2|Y2|j2|y2
0.1|0.997502|-1.53424|0.998334|-9.95004|0.0499375|-6.45895|0.0333|-100.499|0.00124896|-127.645|0.000666191|-3005.01
0.2|0.990025|-1.08111|0.993347|-4.90033|0.0995008|-3.32382|0.0664004|-25.495|0.00498335|-32.1571|0.00265906|-377.525
0.3|0.977626|-0.807274|0.985067|-3.18445|0.148319|-2.29311|0.0991029|-11.5999|0.0111659|-14.4801|0.00596152|-112.815
0.4|0.960398|-0.606025|0.973546|-2.30265|0.196027|-1.78087|0.131212|-6.73018|0.0197347|-8.29834|0.0105453|-48.1737
0.5|0.93847|-0.444519|0.958851|-1.75517|0.242268|-1.47147|0.162537|-4.46918|0.030604|-5.44137|0.0163711|-25.0599
0.6|0.912005|-0.30851|0.941071|-1.37556|0.286701|-1.26039|0.192892|-3.23367|0.0436651|-3.89279|0.023389|-14.7928
0.7|0.881201|-0.190665|0.920311|-1.09263|0.328996|-1.10325|0.222098|-2.48121|0.0587869|-2.96148|0.0315388|-9.54114
0.8|0.846287|-0.0868023|0.896695|-0.870883|0.368842|-0.978144|0.249986|-1.9853|0.0758178|-2.35856|0.0407505|-6.57399
0.9|0.807524|0.00562831|0.870363|-0.690678|0.40595|-0.873127|0.276393|-1.63778|0.0945863|-1.94591|0.0509452|-4.7686
1|0.765198|0.088257|0.841471|-0.540302|0.440051|-0.781213|0.301169|-1.38177|0.114903|-1.65068|0.0620351|-3.60502
1.1|0.719622|0.162163|0.810189|-0.41236|0.470902|-0.69812|0.324175|-1.18506|0.136564|-1.43147|0.0739248|-2.81963
1.2|0.671133|0.228084|0.776699|-0.301965|0.498289|-0.621136|0.345285|-1.02834|0.159349|-1.26331|0.0865122|-2.26888
1.3|0.620086|0.286535|0.741199|-0.205768|0.522023|-0.54852|0.364384|-0.899482|0.183027|-1.13041|0.0996886|-1.86996
1.4|0.566855|0.337895|0.703893|-0.121405|0.541948|-0.479147|0.381375|-0.790611|0.207356|-1.02239|0.11334|-1.57276
1.5|0.511828|0.382449|0.664997|-0.0471581|0.557937|-0.412309|0.396173|-0.696435|0.232088|-0.932194|0.127349|-1.34571
1.6|0.455402|0.420427|0.624734|0.0182497|0.569896|-0.347578|0.408708|-0.613327|0.256968|-0.854899|0.141594|-1.16824
1.7|0.397985|0.452027|0.583332|0.0757909|0.577765|-0.284726|0.418927|-0.538749|0.281739|-0.786999|0.155952|-1.02653
1.8|0.339986|0.477432|0.541026|0.126223|0.581517|-0.223665|0.426794|-0.470902|0.306144|-0.725948|0.170296|-0.911061
1.9|0.281819|0.49682|0.498053|0.170152|0.581157|-0.164406|0.432285|-0.408499|0.329926|-0.669879|0.184503|-0.81515
